H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

W,600400,NN,14057,85711,   796.0,Beinn Bhan
W,600401,NG,80360,45039,   896.0,Beinn Bhan
W,600402,NH,10590,37667,   620.0,Beinn Bheag
W,600403,NR,42991,56466,   492.0,Beinn Bheigeir
W,600404,NS,15478,98326,   779.0,Beinn Bheula Pub Pil S1599 Pass 02
W,600405,NG,24661,54432,   315.0,Beinn Bhreac
W,600406,NM,58801,69149,   357.0,Beinn Bhreac
W,600407,NN,73338,40267,   716.0,Beinn Bhreac
W,600408,NR,35569,71617,   287.0,Beinn Bhreac
W,600409,NS,42074,96411,   578.0,Beinn Bhreac
W,600410,NR,59817,90887,   467.0,Beinn Bhreac (Jura)
W,600411,NH,67805,19860,   807.0,Beinn Bhreac Mhor
W,600412,NN,95413,92291,  1157.0,Beinn Bhrotain
W,600413,NH,78683,40646,   549.0,Beinn Bhuide Mhor
W,600414,NM,82176,96726,   855.0,Beinn Bhuidhe
W,600415,NM,60057,53116,   452.0,Beinn Bhuidhe
W,600416,NR,97805,75578,   435.0,Beinn Capuill
W,600417,NC,42287,64660,   384.0,Beinn Ceannabeinne
W,600418,NM,81109,10209,   257.0,Beinn Chaorach
W,600419,NN,35884,32822,   819.0,Beinn Chaorach
W,600420,NS,28744,92370,   714.0,Beinn Chaorach
W,600421,NM,55138,22516,   449.0,Beinn Charsaig
W,600422,NN,44406,32661,   938.0,Beinn Cheathaich
W,600423,NM,40345,40209,   313.0,Beinn Chreagach
W,600424,NN,85291,77784,  1008.0,Beinn Dearg
W,600425,NN,02387,04914,   483.0,Beinn Dearg
