I  GPSU 4.15
W EW2396 NY 28078 09539 C     762.0 High Raise [High Raise (High White Stones)] (Ma,Hew,N,W,B)
W EW3859 NY 30718 21473 C     343.0 High Rigg (Birkett) (B)
W EW2627 NY 30854 22001 C     357.0 High Rigg [Naddle Fell] (Ma,W,B)
W EW3758 NY 21530 04390 C     487.0 High Scarth (B)
W EW2455 NY 28711 18045 C     608.0 High Seat (sHew,W,5,B,Hu)
W EW3570 NY 18691 16903 C     526.0 High Snockrigg (5,B)
W EW2436 NY 23406 16240 C     653.0 High Spy (sMa,Hew,N,W,B,Hu)
W EW2443 NY 23685 17115 C     634.0 High Spy North Top (N)
W EW3728 NY 16750 14792 C     806.0 High Stile (W,B)
W EW2381 NY 17009 14816 C     807.0 High Stile [Grey Crag - High Stile] (Ma,Hew,N,B)
W EW2528 NY 44076 11048 C     828.0 High Street (Ma,Hew,N,W,B)
W EW2478 NY 28911 16517 C     515.0 High Tove (W,B)
W EW2585 NY 51500 10900 C     531.0 High Wether Howe (WO,5,B)
W EW3885 SD 30050 99032 C     410.0 High Wythow (B)
W EW2411 NY 21571 16468 C     727.0 Hindscarth (Hew,N,W,B)
W EW2404 NY 19386 22051 C     739.0 Hobcarton Crag [Hobcarton Head] (Hew,N,B)
W EW2444 NY 19527 23518 C     634.0 Hobcarton End (N,B)
W EW2617 NY 46900 04100 C     426.0 Hollow Moor [Hollow Moor -Green Quarter Fell] (WO,B)
W EW2673 NY 31505 00610 C     317.0 Holme Fell (Ma,W,B)
W EW3320 NY 21246 14142 C     630.0 Honister Crag [Black Star] (N,B)
W S10059 NY 22600 13600 C     350.0 Honister Pass carpark (S)
W EW2395 NY 18570 22165 C     770.0 Hopegill Head (Hew,N,W,B)
W EW3878 NY 22412 00804 C     433.0 Horseshow Crags (B)
W EW2576 NY 49900 10400 C     583.0 Howes (WO)
W EW2619 NY 50216 15168 C     415.0 Hugh's Laithes Pike (WO)
W EW2631 SD 46000 99500 C     260.0 Hugill Fell (WO)
W EW2706 SD 39100 73830 C      53.0 Humphrey Head (WO)
W EW2682 SD 55600 77457 C     275.0 Hutton Roof Crags (Ma)
W EW2542 NY 43651 07755 C     757.0 Ill Bell (Hew,N,W,B,Hu)
W EW2362 NY 22290 07345 C     935.0 Ill Crag (Hew,N,B)
W EW3742 NY 20000 19200 C     546.0 Ill Crag (Newlands) (B)
W EW2454 NY 16905 05015 C     609.0 Illgill Head (Ma,sHew,W,5,B)
W EW2440 NY 12326 11918 C     640.0 Iron Crag [Ennerdale Fell] (Hew,N,B)
W EW3787 NY 14400 02600 C     395.0 Irton Fell (B)
W EW2514 NY 12100 01600 C     229.0 Irton Pike (WO)
W EW3698 NY 27368 27510 C     735.0 Jenkin Hill (B)
W EW3812 NY 09472 18120 C     311.0 Kelton Fell (B)
W EW2546 NY 46554 07790 C     730.0 Kentmere Pike (Hew,N,W,B)
W S10079 NY 45601 04112 C     160.0 Kentmere village by church (S)
W EW3895 SD 19876 99912 C     328.0 Kepple Crag (B)
W EW2536 NY 44738 12584 C     780.0 Kidsty Pike (N,W,B)
W EW3789 NY 25800 16600 C     392.0 King's How - Grange Fell (B)
W EW2650 SD 14681 90970 C     535.0 Kinmont Buck Barrow (WO,B)
W EW3795 NY 21900 23300 C     374.0 Kinn (B)
W EW3794 NY 07836 11628 C     375.0 Kinniside (B)
W EW2383 NY 19495 10490 C     802.0 Kirk Fell (Ma,Hew,N,W,B)
W EW3714 NY 17284 26566 C     438.0 Kirk Fell (Lorton) (B)
W EW2387 NY 19906 10698 C     787.0 Kirk Fell East Top [Kirk Fell North Top] (Hew,N,B)
W EW2668 SD 25990 83915 C     334.0 Kirkby Moor [Lowick High Common] (Ma)
W S10076 NY 40100 08100 C     440.0 Kirkstone Pass (S)
W EW3877 SD 29536 98968 C     435.0 Kitty Crag (B)
W EW2628 NY 52672 19124 C     342.0 Knipescar Common [Knipe Scar] (WO,B)
W EW2328 NY 29617 32985 C     710.0 Knott (Ma,Hew,N,W,B)
W EW2465 NY 19740 18870 C     556.0 Knott Rigg (W,5,B)
W EW3775 NY 17201 19292 C     426.0 Lad Hows (B)
W EW2420 NY 18489 22753 C     703.0 Ladyside Pike (sHew,N,B)
W EW2625 NY 53434 02099 C     367.0 Lamb Pasture (WO,B)
W EW2665 SD 58682 94184 C     339.0 Lambrigg Fell (Ma)
W EW2666 SD 58570 94389 C     338.0 Lambrigg Fell (old GR) (xMa)
W EW3779 NY 31839 07066 C     414.0 Lang How (B)
W EW2621 NY 52800 13400 C     400.0 Langhowe Pike (WO)
W EW2471 NY 09166 11957 C     541.0 Lank Rigg (W,5,B,Hu)
W S10055 NY 15800 20700 C     140.0 Lanthwaite Green carpark (S)
W EW2352 NY 27911 24701 C     367.0 Latrigg (W,B)
W EW3799 NY 07437 11479 C     354.0 Latter Barrow (B)
W EW2689 SD 36725 99100 C     244.0 Latterbarrow (WO)
W EW2501 NY 17961 28592 C     373.0 Ling Fell (W,B)
W EW2382 NY 20936 08181 C     807.0 Lingmell (Hew,N,W,B)
W EW3771 NY 14204 13036 C     435.0 Lingmell (Ennerdale) (B)
W EW2485 NY 30278 04608 C     469.0 Lingmoor Fell [Lingmoor Fell - Brown How] (Ma,W,B)
W EW3744 NY 28300 11200 C     542.0 Lining Crag (B)
W EW2339 NY 28222 31480 C     642.0 Little Calva (N,B)
W EW3866 NY 27006 01454 C     692.0 Little Carrs (B)
W EW3715 NY 26200 33700 C     395.0 Little Cockup (B)
